S-8D Google 2 0.3090909090909091 S: 38, I: 1, D: 97
S-8D Kaldi 2 0.18181818181818182 S: 42, I: 7, D: 31
S-8D Google 3 0.39094650205761317 S: 62, I: 1, D: 127
S-8D Kaldi 3 0.28189300411522633 S: 84, I: 6, D: 47
S-8D Google 4 0.352165725047081 S: 80, I: 4, D: 103
S-8D Kaldi 4 0.22033898305084745 S: 71, I: 10, D: 36
S-8D Google 5 0.31634819532908703 S: 60, I: 2, D: 87
S-8D Kaldi 5 0.1762208067940552 S: 51, I: 5, D: 27
S-3C Google 0 0.38197424892703863 S: 42, I: 2, D: 45
S-3C Kaldi 0 0.33905579399141633 S: 37, I: 12, D: 30
S-3C Google 1 0.39869281045751637 S: 19, I: 3, D: 39
S-3C Kaldi 1 0.33986928104575165 S: 29, I: 6, D: 17
S-3C Google 2 0.4385026737967914 S: 45, I: 7, D: 112
S-3C Kaldi 2 0.2914438502673797 S: 58, I: 2, D: 49
S-3C Google 3 0.32608695652173914 S: 41, I: 4, D: 30
S-3C Kaldi 3 0.20869565217391303 S: 32, I: 4, D: 12
S-3C Google 4 0.38826185101580135 S: 87, I: 11, D: 74
S-3C Kaldi 4 0.22799097065462753 S: 62, I: 7, D: 32
S-3C Google 5 0.39776951672862454 S: 40, I: 1, D: 66
S-3C Kaldi 5 0.3048327137546468 S: 38, I: 4, D: 40
S-12D Google 0 0.55 S: 26, I: 1, D: 39
S-12D Kaldi 0 0.31666666666666665 S: 23, I: 1, D: 14
S-12D Google 1 0.5605095541401274 S: 33, I: 1, D: 54
S-12D Kaldi 1 0.3630573248407643 S: 32, I: 5, D: 20
S-12D Google 2 0.45348837209302323 S: 18, I: 0, D: 21
S-12D Kaldi 2 0.29069767441860467 S: 10, I: 3, D: 12
S-12D Google 3 0.5955056179775281 S: 28, I: 0, D: 25
S-12D Kaldi 3 0.3258426966292135 S: 15, I: 1, D: 13
S-12D Google 4 0.44505494505494503 S: 40, I: 0, D: 41
S-12D Kaldi 4 0.24175824175824176 S: 27, I: 1, D: 16
S-12D Google 5 0.5705128205128205 S: 36, I: 1, D: 52
S-12D Kaldi 5 0.3525641025641026 S: 33, I: 0, D: 22
S-18B Google 0 0.40878378378378377 S: 43, I: 1, D: 77
S-18B Kaldi 0 0.27364864864864863 S: 55, I: 7, D: 19
S-18B Google 1 0.33905579399141633 S: 27, I: 1, D: 51
S-18B Kaldi 1 0.19742489270386265 S: 26, I: 7, D: 13
S-18B Google 2 0.4044943820224719 S: 29, I: 3, D: 40
S-18B Kaldi 2 0.24719101123595505 S: 32, I: 6, D: 6
S-18B Google 3 0.408 S: 44, I: 3, D: 55
S-18B Kaldi 3 0.22 S: 37, I: 6, D: 12
S-18B Google 4 0.32142857142857145 S: 33, I: 3, D: 54
S-18B Kaldi 4 0.26071428571428573 S: 37, I: 10, D: 26
S-18B Google 5 0.3041958041958042 S: 35, I: 2, D: 50
S-18B Kaldi 5 0.14685314685314685 S: 24, I: 6, D: 12
S-18B Google 6 0.29914529914529914 S: 17, I: 1, D: 17
S-18B Kaldi 6 0.1794871794871795 S: 10, I: 3, D: 8
S-18B Google 7 0.3165829145728643 S: 36, I: 5, D: 22
S-18B Kaldi 7 0.18592964824120603 S: 24, I: 4, D: 9
S-18B Google 8 0.475 S: 9, I: 0, D: 10
S-18B Kaldi 8 0.35 S: 9, I: 0, D: 5
S-18B Google 9 0.9 S: 5, I: 2, D: 2
